identifier,full_link,title,weight,axis
coin-11952,https://catalog.princeton.edu/catalog/coin-11952,"Mithradates I, Drachm, Damghan",3.96,1
coin-11953,https://catalog.princeton.edu/catalog/coin-11953,"Gotarzes I (-95 to -90), Drachm, Tehran",3.91,1
coin-11954,https://catalog.princeton.edu/catalog/coin-11954,"Gotarzes I (-95 to -90), Drachm, Tehran",4.07,12
coin-11955,https://catalog.princeton.edu/catalog/coin-11955,"Gotarzes I (-95 to -90), Drachm, Tehran",4.08,12
coin-11956,https://catalog.princeton.edu/catalog/coin-11956,"Gotarzes I (-95 to -90), Drachm, Tehran",4.1,12
coin-11957,https://catalog.princeton.edu/catalog/coin-11957,"Gotarzes I (-95 to -90), Drachm, Tehran",3.67,12
coin-11958,https://catalog.princeton.edu/catalog/coin-11958,"Gotarzes I (-95 to -90), Drachm, Tehran",3.98,12
coin-11959,https://catalog.princeton.edu/catalog/coin-11959,"Mithradates I, Drachm, Damghan",3.62,12
coin-1196,https://catalog.princeton.edu/catalog/coin-1196,Guang Xu 光緒 (1875 to 1908),1.65,
coin-11960,https://catalog.princeton.edu/catalog/coin-11960,"Mithradates I, Drachm, Damghan",4.05,12
coin-11961,https://catalog.princeton.edu/catalog/coin-11961,"Mithradates I, Drachm, Damghan",3.26,12
coin-11962,https://catalog.princeton.edu/catalog/coin-11962,"Mithradates I, Drachm, Damghan",4.1,1
coin-11964,https://catalog.princeton.edu/catalog/coin-11964,"Mithradates I, Drachm",3.96,8
coin-11965,https://catalog.princeton.edu/catalog/coin-11965,"Mithradates I, Drachm, Damghan",3.83,12
coin-11966,https://catalog.princeton.edu/catalog/coin-11966,"Mithradates II (-123 to -88), Drachm, Hamadan",3.45,1
coin-11967,https://catalog.princeton.edu/catalog/coin-11967,"Hadrian (117 to 138), aureus, Rome",7.26,6
coin-11968,https://catalog.princeton.edu/catalog/coin-11968,"Hadrian (117 to 138), aureus, Rome",7.27,6
coin-11969,https://catalog.princeton.edu/catalog/coin-11969,"Hadrian (117 to 138), aureus, Rome",7.16,6
coin-1197,https://catalog.princeton.edu/catalog/coin-1197,Guang Xu 光緒 (1875 to 1908),2.13,
coin-11970,https://catalog.princeton.edu/catalog/coin-11970,"Hadrian (117 to 138), sestertius, Rome",25.48,6
coin-11971,https://catalog.princeton.edu/catalog/coin-11971,"Hadrian (117 to 138), sestertius, Rome",26.46,6
coin-11972,https://catalog.princeton.edu/catalog/coin-11972,"Hadrian (117 to 138), sestertius, Rome",25.39,5
coin-11973,https://catalog.princeton.edu/catalog/coin-11973,"Hadrian (117 to 138), sestertius, Rome",28.87,6
coin-11974,https://catalog.princeton.edu/catalog/coin-11974,"Hadrian (117 to 138), sestertius, Rome",24.3,6
coin-11975,https://catalog.princeton.edu/catalog/coin-11975,"Hadrian (117 to 138), dupondius, Rome",9.7,12
coin-11976,https://catalog.princeton.edu/catalog/coin-11976,denarius,3.78,4
coin-11977,https://catalog.princeton.edu/catalog/coin-11977,denarius,3.92,10
coin-11978,https://catalog.princeton.edu/catalog/coin-11978,denarius,3.85,7
coin-11979,https://catalog.princeton.edu/catalog/coin-11979,denarius,3.95,8
coin-1198,https://catalog.princeton.edu/catalog/coin-1198,Guang Xu 光緒 (1875 to 1908),1.54,
coin-11980,https://catalog.princeton.edu/catalog/coin-11980,denarius,3.53,11
coin-11981,https://catalog.princeton.edu/catalog/coin-11981,denarius,3.93,7
coin-11982,https://catalog.princeton.edu/catalog/coin-11982,denarius,3.825,5
coin-11983,https://catalog.princeton.edu/catalog/coin-11983,denarius,3.987,9
coin-11984,https://catalog.princeton.edu/catalog/coin-11984,denarius,3.924,9
coin-11985,https://catalog.princeton.edu/catalog/coin-11985,denarius,3.918,7
coin-11986,https://catalog.princeton.edu/catalog/coin-11986,denarius,3.925,1
coin-11987,https://catalog.princeton.edu/catalog/coin-11987,denarius,3.864,1
coin-11988,https://catalog.princeton.edu/catalog/coin-11988,denarius,3.906,4
coin-11989,https://catalog.princeton.edu/catalog/coin-11989,denarius,3.936,7
coin-1199,https://catalog.princeton.edu/catalog/coin-1199,"Tetradrachm, Syracuse",16.84,9
coin-11990,https://catalog.princeton.edu/catalog/coin-11990,denarius,3.818,12
coin-11991,https://catalog.princeton.edu/catalog/coin-11991,denarius,3.459,4
coin-11992,https://catalog.princeton.edu/catalog/coin-11992,denarius,3.928,7
coin-11993,https://catalog.princeton.edu/catalog/coin-11993,denarius,3.901,4
coin-11994,https://catalog.princeton.edu/catalog/coin-11994,"Hadrian (117 to 138), sestertius, Rome",24.3,6
coin-11995,https://catalog.princeton.edu/catalog/coin-11995,"Hadrian (117 to 138), sestertius, Rome",26.61,6
coin-11996,https://catalog.princeton.edu/catalog/coin-11996,"Hadrian (117 to 138), as, Rome",11.17,6
coin-11997,https://catalog.princeton.edu/catalog/coin-11997,"Hadrian (117 to 138), as, Rome",12.17,5
coin-11998,https://catalog.princeton.edu/catalog/coin-11998,"Hadrian (117 to 138), as, Rome",8.6,6
coin-11999,https://catalog.princeton.edu/catalog/coin-11999,"Hadrian (117 to 138), as, Rome",11.46,7
coin-12,https://catalog.princeton.edu/catalog/coin-12,"Anastasius I (491 to 518), Constantinople",8.9,7
coin-120,https://catalog.princeton.edu/catalog/coin-120,"Anastasius I (491 to 518), 5 nummi, Constantinople",1.47,6
coin-12000,https://catalog.princeton.edu/catalog/coin-12000,"Hadrian (117 to 138), sestertius, Rome",27.97,6
coin-12001,https://catalog.princeton.edu/catalog/coin-12001,"Alexius I (1081 to 1118), follis",5.382,6
coin-12002,https://catalog.princeton.edu/catalog/coin-12002,"Alexius I (1081 to 1118), follis",7.191,5
coin-12003,https://catalog.princeton.edu/catalog/coin-12003,"Alexius I (1081 to 1118), follis",2.893,6
coin-12004,https://catalog.princeton.edu/catalog/coin-12004,"Alexius I (1081 to 1118), follis",,
coin-12005,https://catalog.princeton.edu/catalog/coin-12005,"Alexios I Komnenos, follis, Antioch",,
coin-12006,https://catalog.princeton.edu/catalog/coin-12006,"Alexios I Komnenos, follis, Antioch",5.86,12
coin-12007,https://catalog.princeton.edu/catalog/coin-12007,"Alexios I Komnenos, follis, Antioch",5.329,5
coin-12008,https://catalog.princeton.edu/catalog/coin-12008,"stater, Corinth",8.69,3
coin-12009,https://catalog.princeton.edu/catalog/coin-12009,Coin 12009,,
